,0,currentRecs,keywordRecs,babyBERTRecs,Madeleine's Recs,mixedRecs,keyphraseRecs
135,"Sorry, okay.",Sorry,sorry,sorry,sorry ,Sorry,sorry okay
136,Alright.,,,,,,
137,And he came back.,came,came,came,came ,came,came
138,Thank you.,Thank,thank,thank,thank ,Thank,thank
139,you,,,,,,
140,So we were just looking at the...,looking,just,looking,looking,just,just looking
141,Fire truck outside of the window.,Fire,truck,truck,truck ,truck,outside window
142,because we don't want to go back again and then...,want,want,want,want ,want,don want
143,Nothing happened.,happened,happened,happened,happened,happened,happened
144,but this time,time,time,time,time ,time,time
145,Someone actually came out of the door.,door,door,actually,door ,door,came door
146,Thank you.,Thank,thank,thank,thank ,Thank,thank
147,you,,,,,,
148,Then it turns out that next two of the neighbors.,neighbors,neighbors,neighbors,neighbors ,neighbors,turns neighbors
149,a small blip.,blip,blip,blip,blip ,blip,small blip
150,River.,River,river,river,river ,River,river
151,And then...,then,no key word,no key word,no key word ,then,no key word
152,the dark and octopus.,octopus,octopus,octopus,(duck?) and octopus have equal weight,octopus,dark octopus
153,We're fighting.,fighting,fighting,fighting,fighting ,fighting,fighting
154,Thanks for watching.,Thanks,watching,thanks,watching ,Thanks,thanks watching
155,so the octopus was trying to catch the duck.,octopus,octopus,octopus,octopus ,octopus,octopus trying
156,using this leg.,leg,leg,using,leg,leg,using leg
157,you,,,,,,
158,And then the duck is trying to run away from it.,duck,duck,duck,duck,duck,duck trying
159,So we thought this is the same octopus.,octopus,octopus,octopus,octopus ,octopus,thought octopus
160,We saw today.,today,today,today,today ,today,saw today
161,because it is,is,no key word,no key word,no key word ,is,no key word
162,very distinguishable eyes.,eyes,distinguishable,eyes,eyes ,eyes,distinguishable eyes
163,And it's also the same duck.,duck,duck,duck,duck,duck,duck
164,Because...,,,,,,
165,s huge and it,looking,huge,huge,huge,huge,huge
166,at the sky.,sky,sky,sky,sky,sky,sky
167,So we run over there by the river again.,river,river,river,river ,river,run river
168,And I wanted to see what's happening.,wanted,happening,wanted,see,happening,wanted happening
169,And it turns out that the octopus just wants to make friends with the duck.,octopus,octopus,octopus,octopus ,octopus,turns octopus
170,Do you want to make friends with the little duck or the huge duck?,friends,duck,duck,duck ,duck,little duck
171,So then they got along.,got,got,got,"I believe ""got along"" is one sign in ASL, but I could be wrong. ",got,got
172,So they went back home together.,went,home,went,went ,home,went home
173,The elephant.,elephant,elephant,elephant,elephant ,elephant,elephant
174,It's on the road again.,road,road,road,road ,road,road
175,Do other toys,toys,toys,toys,toys ,toys,toys
176,in the boat.,boat,boat,boat,boat,boat,boat
177,That's all the other thing.,thing,thing,thing,thing ,thing,thing
178,and they were taking pictures from the zoo.,pictures,zoo,zoo,zoo,zoo,pictures zoo
179,"I said, I was saying, what was the lambda, no.",lambda,lambda,said,lambda (?),lambda,saying lambda
180,No.,,,,,,
181,a lot of people just trying to drive their boat. What's that like?,like,boat,boat,boat ,boat,drive boat
182,Okay.,,,,,,okay
183,Because it's rare to see only one elephant on this one.,elephant,elephant,rare,elephant ,elephant,rare elephant
184,you,,,,,,
185,I usually bunch of them together.,bunch,bunch,bunch,bunch,bunch,usually bunch
186,So the elephant also stopped.,elephant,elephant,stopped,elephant ,elephant,elephant stopped
187,She's...,,,,,,no key word
188,Cures.,Cures,cures,cures,cures ,Cures,cures
189,a lot of noise and it's,lot,noise,lot,noise ,noise,lot noise
190,Ewes,E,ewes,ewes,ewes ,E,ewes
191,And he turned around and also was wondering what was happening.,turned,turned,turned,wondering ,turned,turned wondering
192,Miss Blue Eyes is looking at the people in the boat.,people,boat,boat,people ,boat,miss blue
193,as if it's telling them to.,telling,telling,telling,telling ,telling,telling
194,Stop taking pictures.,pictures,stop,stop,stop,pictures,taking pictures
195,It's not that weird.,weird,weird,weird,weird ,weird,weird
196,It's just taking...,taking,taking,taking,taking ,taking,just taking
197,I walk on the floor with a sunny day.,floor,sunny,floor,sunny ,sunny,floor sunny
198,So just quick on this town.,town,town,quick,town ,town,quick town
199,And then continue to walk away.,continue,walk,continue,walk,walk,walk away
200,Thank you.,Thank,thank,thank,thank,Thank,thank
201,Thank you.,Thank,thank,thank,thank ,Thank,thank
202,So the mouth also starts.,mouth,mouth,starts,mouth,mouth,mouth starts
203,to dry away as the elephant goes.,elephant,elephant,goes,elephant ,elephant,away elephant
204,Okay.,,,,,,
205,you,,,,,,
206,Bye!,,,,,,
207,Thank you.,Thank,thank,thank,thank ,Thank,thank
208,"m just making off some weird stories. Yeah, that",described,stories,weird,stories ,stories,weird stories
