,0
389,Yeah.
390,"You know what, let's bring this guy over to have a look."
391,Let me have a look at that truck.
392,Hm.
393,It doesn't seem to be working.
394,Mhm.
395,He's gonna ride in the truck.
396,That's a good idea.
397,That's a good idea.
398,"Ouch, dude."
399,"Here I, I fixed the track."
400,"Boom, boom, boom."
401,See now it's all fixed.
402,"Hey, what are you doing, dude?"
403,"It's not supposed to be the hammer, throw all OK, mister."
404,Now things are getting serious.
405,Uh-oh.
406,Is right.
407,I always always right.
408,"We better pick these up, huh?"
409,"I didn't put, we'll put me down here because we're, we're done with playing with her."
410,But what about Diddy?
411,"Here comes, oh, you want this one?"
412,You want the truck?
413,Boom.
414,I hammered it.
415,"Yeah, let's leave these guys here and let's play with this one."
416,Her own.
417,Hm.
418,"Um, let's see if I can ride on the truck."
419,There we go.
420,Right.
421,He is the passenger or is he the driver?
422,What do you think?
423,Do you think he was?
424,Is he gonna be driving?
425,"Oh, he's got big feet."
426,His feet are so big.
427,It's hard for him to fit.
428,"Oh, yeah."
429,Look at that zoo.
430,I'm driving the truck.
431,"I decide where it goes and I'm going around the table, right?"
432,"Uh oh I'm not a very good driver, am I?"
433,"Oh, I'm gonna get him in there."
434,That's ok.
435,I just need my right foot for driving room.
436,Hm.
437,"Oh mm like hey, don't run me over ouch."
438,I landed on my face.
439,Uh oh uh oh oh no.
440,"Oh yeah, it was backwards."
441,I got it.
442,Oh bye bye.
443,Did.
444,"Oh, here he is 582."
445,Bye bye.
446,Did I go over here?
447,Bye bye.
448,Should I go over here?
449,"Ok, I'll go stand here."
450,That's right.
451,"Oh, nice push."
452,And here we go across the table.
453,Hm.
454,"Oh we got, we got some sea animals to play with next."
455,Here he comes.
456,Which way should I go?
457,Should I go to my left or to my right?
458,I gotta go to my right.
459,two big hands grabbed me.
460,"You grabbed him, didn't you?"
461,"That was super fast and this one's gonna be super slow, slow slow, slow, so slow."
462,Can you push them to me?
463,Fast?
464,No.
465,"Oh, no."
466,Ok. Hello.
467,"I'm supposed to be an octopus, but I only got seven legs."
468,1234567 legs.
469,The 1234567.
470,But he's an octopus.
471,Wears number eight.
472,I can't believe it.
473,Poor God.
474,"Oh, that's number three, isn't it?"
475,That's his leg.
476,Really?
477,It's his tentacles.
478,But that's a big word for a little guy.
479,Dude.
480,That wasn't very nice.
481,Mhm.
482,Let's bring these other guys a little closer for when it's time or?
483,"Ah, he's got my hand, he's got my hand."
484,"Look at that 1, 2, 3, 4, 567, 12, 3, 45."
485,He's got more than me.
486,That's right.
487,That's ok. Yeah.
488,How many fingers on each hand do you have?
489,That's right.
490,"Oh, that little baby is crazy."
491,"Oh, I know what's he doing?"
492,I don't know.
493,What are you doing?
494,You don't know either.
495,Oh my goodness.
496,What do you mean?
497,You don't know?
498,"You know, you don't know."
499,Oh no.
500,Why are you?
501,Bye.
502,Do you know who's really good at that?
503,Hank?
504,This guy?
505,He's got seven arms.
506,You can put in front of his face like 1234567.
507,And then he goes what?
508,"Hey, poor dude."
509,"Uh oh, is right."
510,What are we gonna do about that?
511,Uh oh oh oh.
512,"Oh yeah, that one fell down too."
513,I know.
514,"Uh Should we do the boat next, should we do the boat as your next toy?"
515,What do you think?
516,I think we can get through the last two toys.
517,It was already like that when we got here.
518,But my guess would be this guy.
519,You.
520,"Oops, that's a boat."
521,"Oh, are you making the propeller go?"
522,"Oh, my goodness."
523,"That propeller spins and spins, doesn't it?"
524,Where is everybody going?
525,"Are you having a lot of fun, buddy?"
526,"Hey, how do you think?"
527,"I lost my eighth leg, dude."
528,Keep that propeller away from me.
529,That really spins.
530,Are you twisting the boy on top there?
531,And that makes the propeller spin?
532,"Oh, my goodness."
533,That is so interesting.
534,How are you making that?
535,Do that?
536,Yeah.
537,Oh.
538,"Oh, I know."
539,"Oh, yeah."
540,"That's really interesting to try to figure out, isn't it?"
541,I know.
542,I wonder if that would work in the water.
543,What do you think?
544,Do you think you would actually go in the water?
545,I don't know.
546,There's some holes in the bottom.
547,"It might just go glo, glo, glo, glo glob."
548,"Well, that's a really cool propeller."
549,"You got there, buddy."
550,B Wow.
551,"That toy is fascinating, isn't it?"
552,Oh.
553,"Oh, mine."
554,"Oh, dude."
555,Ok. Should we move to the last one?
556,"Went, went, went, went, went, went, went, wait, wait, wait, wait, wait."
557,Wow.
558,Right.
559,He's so yellow.
560,He's so yellow.
561,"Oh, my goodness."
562,"You're supposed to roast the duck before you eat him, dude."
563,What are you doing?
564,Uh.
565,"Ohh, poor duck."
566,What's the matter?
567,Did you want some tasty sauce to go with him?
568,Oh.
569,Oh.
570,Where did you go?
571,I don't know where he is.
572,Where is he?
573,Do I have a duck on my shoulder?
574,Do I have a duck on my shoulder?
575,I can't believe it.
576,Are you gonna come get keys?
577,"Du du du du du du du du du du, are you getting, are you getting a little bit restless?"
578,Have you had enough play time now?
579,"Yeah, I think maybe you have, huh?"
580,Who are you waving at?
581,Did you know mummy is up over there?
582,"Oh, there she is."
583,There's mommy.
584,"Good job, buddy."
